"","human","mouse"
"439",274,30948
"440",1814,13490
"441",30008,58859
"442",253190,68607
"443",27030,217716
"444",219938,75469
"445",9687,268527
"450",1436,12978
"451",3595,16162
"452",23077,105689
"453",5159,18596
"454",735,12279
"455",5274,20713
"456",1718,74754
"457",3096,110521
"458",83608,68046
"459",125476,225280
"460",339976,244448
"461",79019,66570
"462",3098,15275
"463",3359,15561
"464",55197,225283
"465",51084,68631
"466",1506,109660
"467",53342,239114
"468",4072,17075
"469",116113,74123
"470",1601,13132
"471",696,12231
"472",2840,574402
"473",27190,56069
"474",55503,64177
"475",55012,59032
"476",5991,19726
"477",56245,74387
"478",55751,234463
"479",80117,71619
"480",80146,67883
"481",57610,74334
"482",23443,229782
"483",27316,19656
"484",4978,330908
"485",55188,237422
"486",9788,211401
"487",538,11977
"488",122416,74251
"489",1349,66142
"490",55690,107975
"491",7412,22329
"492",7572,59057
"493",84271,73826
"494",688,12224
"495",157378,74868
"496",57129,74600
"497",2700,14611
"498",51761,50769
"499",115294,319263
"500",9559,30930
"501",123904,234700
"502",6715,78925
"503",7336,70620
"504",115708,328162
"505",6534,240332
"506",51132,19820
"507",92126,319901
"508",4543,17773
"509",122953,81703
"510",814,12326
"511",26524,50523
"512",5796,19272
"513",9891,77976
"514",9791,19210
"515",8706,26879
"516",9308,12522
"517",3062,387285
"518",84061,67075
"519",8892,217715
"520",5992,71137
"521",7286,22156
"522",3177,13340
"523",6059,24015
"532",10736,20472
"533",286053,68501
"534",2135,58193
"535",29083,66067
"536",28513,227485
"537",5737,19220
"538",51616,407786
"539",158798,434756
"540",5552,19073
"541",9946,66609
"542",27341,74778
"543",83638,107242
"544",5207,18639
"545",10475,214158
"546",65057,497652
"547",115207,239217
"548",1629,13171
"549",54511,208982
"550",9180,18414
"551",22885,319713
"552",55679,225341
"553",153,11554
"554",54210,58217
"555",84135,105372
"556",133522,170826
"557",1743,78920
"558",5433,69241
"559",6865,21337
"560",23250,50770
"565",108,210044
"566",131149,229389
"567",6014,19762
"568",55677,73473
"569",4609,17869
"570",132158,235582
"571",10857,53328
"572",2160,109821
"573",8556,229776
"574",256472,381199
"583",10897,68090
"584",55001,230576
"585",83694,238323
"586",285440,102294
"587",29057,382245
"588",6949,21453
"589",1521,13041
"590",3597,16164
"591",1044,12590
"592",3360,15562
"595",81617,69008
"596",83940,69694
"597",164684,74716
"598",9205,219105
"599",6567,20502
"600",90411,193813
"601",83894,73301
"602",115650,72049
"603",9529,70369
"605",5318,67451
"606",7436,22359
"607",3754,382571
"609",80335,77305
"610",85480,53603
"611",1203,211286
"612",11007,240514
"613",81609,76742
"614",79865,328833
"615",83852,239122
"616",2071,13872
"617",55339,74320
"618",7809,140475
"619",10972,68581
"620",2353,14281
"622",57124,70445
"623",222584,208994
"624",55030,78938
"625",93663,73910
"626",2034,13819
"627",89792,545276
"628",10982,212307
"629",254887,332175
"630",114824,385377
"631",26212,218066
"632",84826,67158
"633",79740,213234
"634",6892,21356
"635",3598,16165
"636",4837,18113
"637",9937,55947
"638",255394,216198
"639",1836,13521
"640",121551,74007
"641",55778,72805
"642",10221,211770
"645",10279,54373
"646",8874,54126
"647",26257,18094
"648",29116,218203
"649",9787,218977
"650",10589,66556
"651",3958,16854
"652",57646,235323
"654",3460,15980
"655",730,109828
"656",134266,17714
"657",6721,20788
"666",11219,24102
"667",9419,56724
"668",339122,69834
"669",1407,12952
"670",27283,26944
"671",50855,56513
"672",3454,15975
"673",23189,107351
"674",387914,219134
"675",3241,53602
"676",84062,94245
"677",151790,213248
"678",134288,68344
"679",9647,68606
"680",10471,14976
"682",5863,19732
"683",54762,207798
"684",84153,68209
"685",2254,14180
"686",27301,77622
"687",7127,21928
"688",5734,19219
"689",1616,13163
"690",374354,66866
"691",10664,13018
"692",26224,50789
"693",4711,66046
"694",10970,216197
"695",7080,21869
"697",84307,69256
"698",79228,386612
"699",6015,19763
"700",149233,209590
"701",170622,66200
"702",7319,22209
"703",1906,13614
"704",399979,102607
"705",3792,23925
"706",121512,224014
"707",57178,328365
"708",6568,20504
"709",81704,76088
"710",91754,217718
"711",9610,225870
"712",4306,110784
"713",4552,210009
"714",57217,225049
"715",10215,50913
"716",9475,19878
"717",201633,100043314
"718",5083,18511
"719",252995,384061
"720",3983,226251
"721",4008,380928
"722",1837,13527
"723",58524,240590
"728",1602,13134
"730",10576,12461
"731",54212,71096
"732",2195,14107
"733",158866,108672
"735",81545,107035
"736",2995,71683
"737",221692,218194
"738",79139,67819
"739",4668,17939
"740",10464,52023
"741",84632,226250
"742",150372,74039
"743",4131,17755
"745",84068,76775
"746",81693,93835
"747",3842,238799
"748",7760,449521
"749",8975,72607
"750",3977,16880
"751",57763,68558
"752",79072,69577
"753",53919,58807
"754",9895,104859
"755",4070,56753
"756",64837,16594
"757",11157,78651
"758",7704,235320
"759",57530,70737
"760",84312,52592
"761",11169,218973
"762",55508,215436
"763",80201,216019
"764",6591,20583
"765",89874,217593
"770",212,11656
"771",5562,105787
"772",254263,12794
"773",65109,68134
"774",2956,17688
"775",2273,14202
"776",253959,56784
"777",3455,15976
"778",152404,207683
"779",55250,58523
"780",388284,71046
"781",6595,67155
"784",79628,225608
"785",10655,226049
"786",245973,68775
"787",5681,244631
"788",25854,212326
"789",4086,17125
"790",51686,53814
"791",10048,56705
"792",55133,78586
"794",51068,97112
"795",590,12038
"796",139599,272790
"797",10561,99899
"798",25996,104444
"799",117144,225865
"800",11278,16597
"801",55922,77286
"802",79595,269003
"803",5687,26443
"804",8089,64050
"805",55815,72236
"806",163786,72776
"807",8061,14283
"808",11080,67035
"809",55703,70428
"810",3077,15216
"819",7752,235907
"820",546,22589
"821",389400,404194
"822",51611,69740
"823",10964,15061
"824",10130,71853
"825",340075,545260
"826",2051,13848
"827",9655,56468
"828",23433,104215
"829",10426,259279
"830",4436,17685
"831",139596,331487
"832",51555,58869
"833",55559,73738
"834",6560,20498
"835",64766,74648
"836",10524,81601
"838",25855,107392
"839",1909,13617
"840",689,218490
"841",5563,108079
"842",56660,210741
"843",7187,22031
"844",181,11604
"845",54438,328232
"846",23107,218506
"847",51256,67046
"848",64399,15245
"849",1761,50796
"850",9277,57315
"851",5289,225326
"852",29926,69080
"853",10246,218103
"854",203427,194744
"855",9177,57014
"856",8940,21976
"857",57122,103468
"858",29980,60364
"859",199964,329909
"860",10219,50928
"861",815,12322
"864",56165,83561
"865",340205,71326
"866",147495,494504
"867",8263,14070
"868",139818,75974
"869",1983,217869
"870",4193,17246
"871",8823,80903
"872",9607,27220
"873",56302,194352
"874",6651,20658
"875",4953,18263
"876",23548,67515
"877",127495,109245
"878",54847,320007
"879",23644,234699
"880",10179,67010
"881",3592,16159
"882",57648,97130
"883",83607,225339
"884",10786,105355
"885",10818,327826
"886",8774,108123
"887",1901,13609
"888",9578,217866
"889",3840,16649
"890",51550,67236
"891",122809,67296
"892",80206,225288
"893",22894,72662
"894",91653,117606
"895",84684,56856
"896",6641,20649
"897",55039,68260
"898",84651,408198
"899",166785,109136
"900",2618,14450
"901",3588,16155
"902",1876,50496
"903",3037,15117
"904",50814,18194
"905",54898,54326
"906",6656,20664
"907",6293,224705
"908",134429,170459
"909",200558,72103
"910",79879,76457
"911",55213,71330
"912",51562,217588
"913",79658,78514
"914",4045,268890
"915",80198,71711
"916",10385,238555
"917",79576,67050
"918",64087,78038
"920",4140,17169
"921",633,12111
"922",10050,319848
"923",7755,22654
"925",7555,12785
"926",54112,64378
"927",3818,16621
"931",220869,226043
"932",79645,66793
"933",292,11740
"934",5276,67931
"935",54888,28114
"936",1474,73720
"937",22865,386750
"938",81493,68828
"940",78991,240334
"941",64174,319446
"942",6832,338359
"943",5145,225600
"944",65005,78523
"945",4739,18003
"946",4173,17217
"947",5699,19171
"948",57560,68259
"949",2297,15229
"950",57631,210297
"952",81577,70575
"953",11022,72634
"954",11052,432508
"955",5230,18655
"956",2706,14619
"957",1072,12631
"958",25800,106957
"959",170690,271127
"974",57215,59016
"976",8705,54218
"977",132625,22702
"978",151887,67896
"979",222698,66707
"980",205860,622117
"981",254122,225861
"982",8655,408058
"983",154,11555
"984",83700,83964
"985",64386,240047
"986",167465,238803
"987",6170,67248
"988",54726,73945
"990",255738,100102
"991",84285,69860
"992",1069,26370
"993",134430,225348
"995",84674,239319
"996",91137,67453
"997",55814,544971
"998",26137,56490
"999",200150,319455
"1000",10804,14623
"1001",50863,235106
"1007",2589,14423
"1008",8100,21821
"1009",9882,210789
"1010",64328,57258
"1015",84891,332221
"1016",11236,75841
"1017",134265,106877
"1018",3358,15560
"1019",132160,67905
"1020",22882,387609
"1022",339487,67106
"1023",5228,18654
"1024",4074,17113
"1025",23408,68346
"1026",840,12369
"1027",5281,18701
"1028",81876,76308
"1029",5928,19646
"1030",23186,217864
"1031",22,11306
"1032",27085,105837
"1034",254187,78306
"1035",285852,224840
"1036",2815,54368
"1037",757,77975
"1038",10393,68999
"1039",5591,19090
"1040",170689,235130
"1041",10992,319322
"1042",9158,58249
"1043",81602,71891
"1044",1052,12609
"1045",1727,109754
"1046",1152,12709
"1047",54943,246738
"1048",80152,320394
"1050",79810,68927
"1051",805,12314
"1052",79954,217431
"1053",5108,18536
"1054",148867,66500
"1055",57536,225289
"1060",253832,75965
"1061",7098,142980
"1062",54494,434402
"1063",3720,16468
"1064",135924,258569
"1065",6860,20983
"1066",152485,622675
"1067",387357,210757
"1068",54209,83433
"1069",221150,219114
"1070",11235,56426
"1071",2596,14432
"1072",8867,104015
"1073",9092,20227
"1074",57461,57905
"1075",4648,17922
"1076",4694,54405
"1081",253260,78757
"1082",523,11964
"1083",84547,319207
"1084",178,77559
"1085",55034,68591
"1086",1,117586
"1087",10746,26405
"1088",1005,241201
"1089",5581,18754
"1090",151742,242083
"1091",10051,70099
"1092",861,12394
"1093",51184,68080
"1094",6835,20931
"1095",339,11810
"1096",374907,232984
"1097",9760,252838
"1098",23151,223752
"1099",26027,329910
"1100",2492,14309
"1101",221955,231871
"1102",51151,22293
"1103",23435,230908
"1104",6445,24053
"1105",9666,224170
"1106",393046,258270
"1107",83449,56523
"1108",23057,226518
"1109",3910,16775
"1110",613209,73670
"1111",2869,14773
"1112",54756,171463
"1113",29126,60533
"1114",51161,235599
"1115",1763,327762
"1116",7078,21859
"1117",53346,107769
"1118",23500,76441
"1119",51253,56280
"1120",57188,269959
"1122",64216,15278
"1123",5813,19290
"1124",338751,258160
"1125",6304,20230
"1128",7380,22270
"1129",78989,71693
"1130",10094,56378
"1131",9014,21340
"1132",442247,215919
"1133",55907,12764
"1134",80004,77411
"1135",133690,75568
"1136",2245,14163
"1137",2668,14573
"1140",2041,13835
"1141",79598,74201
"1142",7015,21752
"1146",91894,66952
"1147",26953,240614
"1148",719,12267
"1149",50856,269799
"1150",81688,79555
"1151",1022,12572
"1152",133957,67433
"1153",134218,78244
"1156",8500,233977
"1158",391109,258267
"1159",6550,105243
"1160",26059,238988
"1161",83648,219148
"1162",9528,56374
"1163",2249,14175
"1164",57181,227059
"1166",27063,107765
"1167",22934,19895
"1170",1813,13489
"1171",338339,17474
"1172",2262,103978
"1173",2729,14629
"1174",5345,18816
"1177",10723,20499
"1178",8451,99375
"1179",1040,74596
"1180",782,12295
"1181",55146,72881
"1182",80312,52463
"1183",30836,99480
"1184",54102,209195
"1188",219736,216021
"1189",79843,241128
"1190",5965,19691
"1191",7483,216795
"1192",11344,23999
"1193",54954,207375
"1194",1959,13654
"1195",51439,97863
"1196",2146,14056
"1197",8880,51886
"1198",1457,12995
"1199",51318,66223
"1200",79956,226090
"1201",3932,16818
"1202",23168,76246
"1203",399967,330921
"1204",5456,18994
"1205",148022,106759
"1206",442038,20888
"1207",3169,15375
"1208",259285,353148
"1209",25813,68653
"1210",6451,56726
"1211",255520,244548
"1212",29799,106369
"1213",166348,74589
"1214",56033,12022
"1215",4969,18295
"1216",9136,27966
"1217",23659,192654
"1218",5201,67199
"1219",158800,73614
"1220",28981,12589
"1221",338872,239126
"1222",6723,20810
"1223",1266,71994
"1224",150223,69101
"1225",390081,258355
"1226",80764,69009
"1227",9107,219135
"1228",22846,238328
"1229",154215,432450
"1230",640,12143
"1231",84665,68802
"1233",23335,104082
"1234",29974,69865
"1235",341032,69809
"1236",51378,11602
"1237",9620,12614
"1239",145501,217738
"1240",51315,57896
"1241",344805,208171
"1242",6564,56643
"1243",9319,69716
"1244",2109,110826
"1246",27145,70598
"1247",51279,232371
"1248",6457,20408
"1249",10142,100986
"1250",54984,72400
"1251",57498,77480
"1252",26033,226255
"1258",9585,240641
"1259",6484,20443
"1260",2287,30795
"1261",9781,108089
"1262",64768,75678
"1263",28976,229211
"1264",79087,223774
"1265",55862,52665
"1266",10296,59003
"1267",10971,22630
"1268",54853,67936
"1269",8661,13669
"1270",1827,54720
"1271",26286,66251
"1272",1281,12825
"1273",26064,75646
"1274",22869,74400
"1277",415116,223775
"1278",84954,68047
"1279",79923,71950
"1280",1852,75590
"1281",8821,234515
"1282",50945,245572
"1283",2641,14526
"1284",55083,269152
"1285",1911,13619
"1290",170712,78174
"1291",56666,406218
"1292",11060,66894
"1293",153657,75777
"1294",9127,18440
"1295",144715,231724
"1296",4482,110265
"1297",5481,67738
"1298",25893,216781
"1299",221458,319991
"1300",145581,238205
"1301",8382,75533
"1302",57798,67210
"1303",57590,69368
"1304",79888,210992
"1305",7216,56191
"1306",9080,56863
"1307",91409,72315
"1309",8538,12023
"1310",153562,218518
"1311",345274,75750
"1312",8668,54709
"1313",4800,18044
"1314",1180,12723
"1315",56521,30045
"1316",60386,67283
"1317",79158,432486
"1318",57109,227656
"1319",65267,279561
"1320",10762,18141
"1321",124935,215113
"1322",8820,15209
"1323",131118,67713
"1324",2235,14151
"1325",3313,15526
"1326",58157,64242
"1327",65055,52250
"1328",10345,76757
"1329",5830,19305
"1330",1191,12759
"1331",10218,654812
"1332",442361,258293
"1333",10257,239273
"1334",214,11658
"1335",2998,232493
"1336",5692,19172
"1338",152940,100233207
"1339",4917,18209
"1340",7514,103573
"1341",7038,21819
"1342",57465,224617
"1343",7474,22418
"1344",79339,18367
"1345",23235,235344
"1346",29954,217734
"1347",137835,213068
"1348",161725,170711
"1349",9524,106529
"1350",2222,14137
"1351",342667,217154
"1352",51375,76561
"1353",4675,54561
"1354",51434,56317
"1355",10417,100689
"1356",4171,17216
"1357",23130,329015
"1358",151613,67120
"1359",374470,76640
"1360",4068,20400
"1361",123207,67290
"1362",53335,14025
"1365",1154,12700
"1368",5884,19356
"1369",27309,30932
"1372",81629,58864
"1375",65108,17357
"1378",140767,22360
"1379",51752,80898
"1380",135935,18291
"1381",387700,240638
"1382",25851,70381
"1383",54873,114301
"1384",388228,104175
"1385",7322,56550
"1386",10343,18766
"1387",55120,67030
"1389",64063,70835
"1390",3337,81489
"1391",346525,258292
"1392",154150,15192
"1394",342372,244646
"1395",150209,72168
"1396",7857,20254
"1397",23357,68737
"1398",129607,22169
"1399",54901,68916
"1400",390075,259045
"1401",168620,17341
"1402",81792,239337
"1403",10056,23874
"1404",7478,20890
"1405",4082,17118
"1407",115825,268752
"1409",3988,16889
"1410",10556,54364
"1411",10092,67771
"1412",390066,259058
"1414",55856,66834
"1415",23263,17207
"1416",51389,66521
"1417",347735,230779
"1418",23678,170755
"1420",140886,93728
"1421",10938,13660
"1422",135112,211329
"1423",55374,71983
"1424",6117,68275
"1425",8445,69181
"1426",6159,19944
"1427",9746,232370
"1428",5406,69060
"1431",2192,14114
"1432",7247,22099
"1435",57408,319476
"1436",221656,218214
"1437",113829,67843
"1438",9972,218210
"1439",1839,15200
"1440",11037,77057
"1441",95,109652
"1442",2110,66841
"1443",5361,18844
"1444",4684,17967
"1445",26521,30057
"1446",2475,56717
"1447",23163,260302
"1448",84132,76800
"1454",23001,72145
"1455",375449,328329
"1456",221035,28193
"1457",132141,74267
"1458",84189,239250
"1459",9352,53382
"1460",1487,13016
"1461",10735,20843
"1462",55794,71986
"1463",64754,69726
"1464",84890,211488
"1465",1730,54004
"1466",81563,69399
"1467",10112,19348
"1468",1871,13557
"1469",151888,208154
"1470",10150,105559
"1472",146395,269994
"1473",143379,67507
"1474",55872,52033
"1476",3982,233187
"1477",1795,208869
"1478",50852,77647
"1479",2103,26380
"1480",91039,224897
"1481",115353,77809
"1482",11172,27356
"1483",27199,239283
"1484",10590,214189
"1485",1519,229445
"1486",10916,80884
"1487",4524,17769
"1488",4253,338320
"1489",10902,78656
"1490",50805,50916
"1491",5465,19013
"1492",89780,22416
"1493",25864,68644
"1494",122553,78232
"1495",9183,26951
"1496",400,104303
"1497",6235,20090
"1498",8293,20365
"1499",6389,66945
"1500",7533,22629
"1504",9332,93671
"1505",5297,224020
"1507",8697,52563
"1508",2018,13797
"1509",57497,70530
"1510",150572,12180
"1511",55325,192169
"1512",8224,27204
"1513",51663,22763
"1514",8470,234214
"1515",3108,14998
"1516",5053,18478
"1517",595,12443
"1518",22853,231876
"1519",6571,214084
"1520",373863,213236
"1521",222643,76589
"1522",23299,76895
"1523",2053,13850
"1524",403314,71281
"1525",51621,50794
"1526",2017,13043
"1527",283576,238331
"1528",135228,235505
"1529",373156,76263
"1530",7681,22652
"1531",128308,67212
"1532",79412,73016
"1533",5731,19216
"1534",84640,74841
"1535",51026,66964
"1536",9782,17184
"1537",23180,76438
"1538",6152,68193
"1539",51692,54451
"1540",2555,14395
"1542",1723,56749
"1543",160760,320717
"1544",56884,213262
"1545",50613,244178
"1546",390059,258961
"1547",6836,20932
"1548",201625,110083
"1549",84288,68226
"1550",83480,67049
"1551",641649,320208
"1552",90324,52132
"1553",5526,225849
"1554",5966,19696
"1556",1737,235339
"1557",1508,13030
"1558",202052,76594
"1559",375,11840
"1560",2891,14800
"1561",1307,107581
"1562",343637,228770
"1563",1135,110902
"1564",126282,66443
"1565",6257,20182
"1566",6041,24014
"1569",64895,216578
"1570",24,11304
"1571",83985,73658
"1572",11014,66913
"1573",64422,67841
"1574",10009,56805
"1575",60482,63993
"1576",3061,230777
"1577",23761,320951
"1578",389257,432779
"1579",56158,66654
"1580",221662,666794
"1581",23040,17933
"1582",6046,14312
"1584",64863,76781
"1585",55572,235169
"1586",259286,387515
"1587",255488,218215
"1588",10075,59026
"1589",6999,56720
"1590",706,12257
"1591",80765,170460
"1592",53336,382239
"1596",222537,319415
"1597",79983,69693
"1598",55314,70652
"1599",83595,20680
"1600",64979,94066
"1601",890,12428
"1602",57380,380836
"1603",114984,76917
"1604",63971,16553
"1605",3993,217325
"1606",25973,230577
"1607",9349,65019
"1609",558,26362
"1610",9188,56200
"1611",5993,53970
"1612",80776,232987
"1613",79038,68520
"1614",7184,22027
"1615",51523,67393
"1616",6819,69083
"1617",128637,67231
"1618",257068,433022
"1619",55211,73693
"1622",8454,26965
"1623",6939,21407
"1624",11093,279028
"1625",3897,16728
"1626",145282,73490
"1627",8120,11775
"1629",26289,229949
"1630",55757,66435
"1631",121599,20728
"1632",55504,29820
"1633",8772,14082
"1634",388633,546840
"1635",6526,53881
"1636",286046,219149
"1637",54829,66695
"1638",2834,226278
"1639",1185,26372
"1644",54766,56057
"1645",6503,20491
"1646",5457,18996
"1647",51763,19062
"1648",3915,226519
"1649",83875,170752
"1653",3111,15001
"1654",51368,21767
"1655",8452,26554
"1656",487,11937
"1657",100506658,18260
"1658",55754,69981
"1659",60487,73681
"1660",527,11984
"1661",5728,19211
"1662",27107,271377
"1663",55107,101772
"1664",5027,18439
"1666",3762,16521
"1667",84159,71371
"1671",2621,14456
"1673",151871,73703
"1674",340562,73809
"1675",51307,66306
"1676",79187,240121
"1678",3398,15902
"1679",11166,223227
"1680",134829,215890
"1681",23212,59014
"1682",10036,27221
"1683",266722,50787
"1684",81847,68031
"1685",29119,216033
"1686",160298,100503879
"1687",873,12408
"1688",27102,15467
"1689",10148,50498
"1690",165721,56691
"1691",29940,212898
"1692",899,12449
"1693",6659,20677
"1694",5270,20720
"1695",7332,22195
"1696",5367,110312
"1705",57085,11610
"1706",114609,117149
"1707",252969,382913
"1708",2168,14080
"1709",80204,225055
"1710",5592,19091
"1711",57592,78266
"1712",4883,18162
"1713",116461,66637
"1714",54496,214572
"1715",79621,67153
"1716",79192,16371
"1717",338567,332396
"1718",55805,67620
"1719",7164,21987
"1720",2766,66355
"1721",25909,226747
"1722",27349,223722
"1723",255239,244859
"1724",26091,67345
"1725",83547,280408
"1726",1325,12854
"1729",84342,97484
"1730",3375,15874
"1731",170589,170458
"1732",2954,14874
"1733",2626,14463
"1734",55015,328110
"1735",593,12039
"1736",5868,271457
"1737",66036,210376
"1738",23200,76295
"1739",54951,27784
"1740",4345,17470
"1741",146198,22751
"1742",91624,68810
"1743",57125,72324
"1744",2313,14247
"1745",391059,20321
"1746",9785,64340
"1747",4285,70478
"1748",3141,110948
"1749",284340,232983
"1751",153527,66492
"1752",93973,56249
"1753",58155,56195
"1754",7703,22658
"1755",85015,77593
"1756",22938,66354
"1757",1302,12815
"1758",55818,104263
"1759",55627,77626
"1760",11343,23945
"1761",29765,50874
"1762",27334,78826
"1763",6890,21354
"1764",51227,56176
"1765",55347,213012
"1766",56961,20420
"1767",64902,268782
"1768",2444,14302
"1769",29114,56370
"1770",4247,217664
"1771",4825,18096
"1772",114798,76965
"1773",8926,84704
"1774",84636,213439
"1775",84033,380698
"1776",889,79264
"1777",57513,140721
"1778",121549,67341
"1779",79848,211660
"1780",55722,74470
"1781",259217,73442
"1782",4058,17005
"1783",10806,76816
"1784",57143,72113
"1785",200008,242603
"1786",27183,116733
"1787",6728,66384
"1788",6944,21427
"1789",23270,72480
"1790",130367,433323
"1791",11023,22326
"1794",7873,74840
"1795",283989,76265
"1796",26503,235504
"1798",401427,18310
"1799",5253,18676
"1800",222642,70026
"1801",10987,26754
"1802",9265,19159
"1803",138065,76072
"1804",93611,230903
"1805",65080,69163
"1806",3918,16782
"1807",23524,75956
"1808",6029,103948
"1809",23126,229584
"1810",115761,219144
"1811",161198,66864
"1812",26045,107065
"1813",2152,14066
"1814",54602,76273
"1815",23483,76355
"1816",1842,407800
"1817",64374,81500
"1818",54813,66689
"1819",4798,235134
"1820",440503,66968
"1821",3927,16796
"1824",79796,102580
"1825",79023,69736
"1826",6505,20510
"1827",9779,72238
"1828",10598,217737
"1829",26278,50720
"1830",79005,69269
"1831",79169,67862
"1832",9452,16431
"1833",7172,22017
"1834",23133,320595
"1835",55680,70432
"1836",5394,50912
"1837",5194,72129
"1838",7040,21803
"1839",85508,545474
"1840",80380,58205
"1841",85458,330938
"1842",221294,319638
"1843",256309,212392
"1844",390067,258746
"1845",5205,54670
"1846",55299,67832
"1847",5195,56273
"1848",51020,69692
"1849",25836,71175
"1850",10923,20024
"1855",8428,223255
"1856",6751,20605
"1857",29890,109095
"1858",85397,67792
"1859",143630,244179
"1860",5908,215449
"1861",613210,619548
"1862",54985,353502
"1863",79844,71164
"1864",79140,66264
"1865",1728,18104
"1866",2885,14784
"1867",4951,18261
"1868",55227,214345
"1869",2846,78134
"1870",1849,235584
"1871",6455,20405
"1872",3706,228550
"1873",2248,14174
"1874",7043,21809
"1875",57569,244867
"1876",11076,72948
"1877",4726,407785
"1878",10396,11980
"1879",120787,258352
"1880",10921,19826
"1885",115701,225638
"1886",133584,268780
"1887",84901,18020
"1888",3344,14236
"1889",55810,60611
"1890",57410,78891
"1891",929,12475
"1892",200081,109658
"1893",55664,67072
"1894",137872,76187
"1895",125875,74276
"1896",7804,16975
"1897",84206,108797
"1898",84836,76491
"1899",116844,76905
"1900",153572,16372
"1911",80305,67976
"1912",51127,56631
"1913",60558,231279
"1914",2113,23871
"1915",26009,108946
"1916",55100,545085
"1917",56980,382066
"1918",4761,18013
"1919",868,208650
"1920",55208,102323
"1921",1278,12843
"1922",9992,246133
"1923",26047,66797
"1924",51473,195208
"1925",5176,20317
"1926",5594,26413
"1927",55832,71902
"1928",23515,338467
"1929",2557,14397
"1930",8578,380713
"1933",835,12366
"1934",112885,271305
"1935",961,16423
"1936",9927,170731
"1937",90231,77034
"1938",643414,240633
"1939",27039,53871
"1940",388695,217779
"1941",23167,76740
"1942",1001,12560
"1943",8208,110749
"1944",9023,12642
"1945",84896,67979
"1946",338094,230579
"1947",84249,74002
"1948",55328,67795
"1949",6507,20512
"1950",59350,381489
"1951",10930,11811
"1952",21,27410
"1953",10747,17175
"1954",7253,22095
"1955",2676,14587
"1956",160897,58245
"1957",120379,72614
"1958",79174,76737
"1959",3433,15958
"1960",3066,15182
"1961",9542,100042150
"1962",9887,226517
"1963",1438,12982
"1964",2912,108068
"1965",51388,66164
"1966",257415,68152
"1967",84881,71989
"1971",114899,81799
"1972",89846,30938
"1973",83541,73847
"1974",10307,225372
"1975",26268,71538
"1976",5469,19014
"1977",79366,50887
"1978",54442,69259
"1979",23704,57814
"1980",9455,26557
"1981",220108,629059
"1982",164592,76872
"1983",4604,109272
"1984",3575,16197
"1985",54432,230584
"1986",3065,433759
"1987",6241,20135
"1988",3363,15566
"1989",146456,66269
"1990",334,11804
"1991",25771,223754
"1992",2191,14089
"1993",27136,17450
"1994",23032,170822
"1995",202243,76041
"1996",3764,16523
"1997",203328,66329
"1998",26270,50762
"1999",2624,14461
"2000",352999,67719
"2001",64098,64099
"2002",646,12173
"2003",7915,214579
"2004",359787,73708
