Symbol,Alias,Description,Function,Gene_Set,Species,Literature_Name,Literature_Link,KEGG_ID,KEGG_Name,Gene_ID
Adcy9,"Adenylate Cyclase Type 9","adenylate cyclase 9","Adenylyl cyclase that catalyzes the formation of the signaling molecule cAMP in response to activation of G protein-coupled receptors. Contributes to signaling cascades activated by CRH (corticotropin-releasing factor), corticosteroids and by beta-adrenergic receptors.","altered intercellular communication","Mus musculus","Identification and characterization of a widely expressed form of adenylyl cyclase",10.1074/jbc.271.23.13900,mmu04211,"Longevity regulating pathway",11515
Adh1,"ADH; Adh-; Adh-1","alcohol dehydrogenase 1 (class I)","It is responsible for systemic alcohol metabolism.",others,"Mus musculus","A novel mechanism for endogenous formaldehyde elevation in SAMP8 mouse",10.3233/JAD-131595,unknown,Unknown,11522
Adh5,"G; Adh; Adh-; Adh3","lcohol dehydrogenase 5 (class III), chi polypeptide","Denitrosylate and live longer: how ADH5/GSNOR links mitophagy to aging.",others,"Mus musculus","Denitrosylate and live longer: how ADH5/GSNOR links mitophagy to aging",10.1080/15548627.2018.1475818,unknown,Unknown,11532
Adh7,"AI325182; Adh; Adh-; Adh-3","alcohol dehydrogenase 7 (class IV)","It has oxidoreductase activity.",others,"Mus musculus","Effects of aging on mRNA profiles for drug-metabolizing enzymes and transporters in livers of male and female mice",10.1124/dmd.111.044461,unknown,Unknown,11529
Adipoq,"Acdc; Apm1","adiponectin, C1Q and collagen domain containing","Important adipokine involved in the control of fat metabolism and insulin sensitivity, with direct anti-diabetic, anti-atherogenic and anti-inflammatory activities.","deregulated nutrient sensing","Mus musculus","Cloning of adiponectin receptors that mediate antidiabetic metabolic effects",10.1038/nature01705,mmu04211,"Longevity regulating pathway",11450
Adipor1,"Progestin And AdipoQ Receptor Family Member 1","adiponectin receptor 1","Receptor for ADIPOQ, an essential hormone secreted by adipocytes that regulates glucose and lipid metabolism.","deregulated nutrient sensing","Mus musculus","Opposing effects of adiponectin receptors 1 and 2 on energy metabolism",10.2337/db06-1432,mmu04211,"Longevity regulating pathway",72674
Adipor2,"Progestin And AdipoQ Receptor Family Member 2","adiponectin receptor 2","Receptor for ADIPOQ, an essential hormone secreted by adipocytes that regulates glucose and lipid metabolism.","deregulated nutrient sensing","Mus musculus","Opposing effects of adiponectin receptors 1 and 2 on energy metabolism",10.2337/db06-1432,mmu04211,"Longevity regulating pathway",68465
Agpat2,"Lpaat-beta; Bscl","1-acylglycerol-3-phosphate O-acyltransferase 2 (lysophosphatidic acid acyltransferase, beta)","This gene encodes a member of the 1-acylglycerol-3-phosphate O-acyltransferase family. The protein is located within the endoplasmic reticulum membrane and converts lysophosphatidic acid to phosphatidic acid, the second step in de novo phospholipid biosynthesis. Mutations in this gene have been associated with congenital generalized lipodystrophy (CGL), or Berardinelli-Seip syndrome, a disease characterized by a near absence of adipose tissue and severe insulin resistance. Alternate transcriptional splice variants, encoding different isoforms, have been characterized.","deregulated nutrient sensing","Mus musculus","What Can Progeroid Syndromes Tell Us About Human Aging?",10.1126/science.1102587,unknown,Unknown,67512
Agtr1a,At1ar,"angiotensin II receptor, type 1a","Receptor for angiotensin II. Mediates its action by association with G proteins that activate a phosphatidylinositol-calcium second messenger system.","altered intercellular communication","Mus musculus","loning, characterization, and expression of two angiotensin receptor (AT-1) isoforms from the mouse genome",10.1126/science.1102588,unknown,Unknown,11607
Aifm1,"Aif; Cmtx4; Pdcd8","apoptosis-inducing factor, mitochondrion-associated 1","AIFM1 is an important player in apoptosis that has been related to tumorigenesis. It also appears to regulate?PARP1-dependent apoptosis.","mitochondrial dysfunction","Mus musculus","Essential Role of the Mitochondrial Apoptosis-Inducing Factor in Programmed Cell Death",10.1126/science.1102589,mmu04210,Apoptosis,26926
Akt1,"Rac; Pb; Prkba","thymoma viral proto-oncogene 1","AKT1 is a protein kinase that is also considered an oncogene. It appears to mediate insulin's (INS) actions and be involved in the signal transduction of growth factors such as IGF1. AKT1 also impacts on cell survival and development, and it activates NFKB1. AKT1 null mice are smaller but viable and more susceptible to genotoxic stress and apoptosis.","cellular senescence","Mus musculus","Systemic Akt1 Deletion After Tumor Onset in p53(-/-) Mice Increases Lifespan and Regresses Thymic Lymphoma Emulating p53 Restoration",10.1126/science.1102590,mmu04211,"Longevity regulating pathway",11651
Akt1s1,"Proline-Rich Akt Substrate","AKT1 substrate 1 (proline-rich)","Subunit of mTORC1, which regulates cell growth and survival in response to nutrient and hormonal signals. mTORC1 is activated in response to growth factors or amino acids. Growth factor-stimulated mTORC1 activation involves a AKT1-mediated phosphorylation of TSC1-TSC2, which leads to the activation of the RHEB GTPase that potently activates the protein kinase activity of mTORC1. Amino acid-signaling to mTORC1 requires its relocalization to the lysosomes mediated by the Ragulator complex and the Rag GTPases. Activated mTORC1 up-regulates protein synthesis by phosphorylating key regulators of mRNA translation and ribosome synthesis. mTORC1 phosphorylates EIF4EBP1 and releases it from inhibiting the elongation initiation factor 4E (eiF4E). mTORC1 phosphorylates and activates S6K1 at 'Thr-389', which then promotes protein synthesis by phosphorylating PDCD4 and targeting it for degradation. Within mTORC1, AKT1S1 negatively regulates mTOR activity in a manner that is dependent on its phosphorylation state and binding to 14-3-3. Inhibits RHEB-GTP-dependent mTORC1 activation. Substrate for AKT1 phosphorylation, but can also be activated by AKT1-independent mechanisms. May also play a role in nerve growth factor-mediated neuroprotection.","deregulated nutrient sensing","Mus musculus","Modulation of proline-rich akt substrate survival signaling pathways by oxidative stress in mouse brains after transient focal cerebral ischemia",10.1126/science.1102591,mmu04211,"Longevity regulating pathway",67605
Akt2,"RAC-Beta Serine/Threonine-Protein Kinase","thymoma viral proto-oncogene 2","AKT2 is one of 3 closely related serine/threonine-protein kinases (AKT1, AKT2 and AKT3) called the AKT kinases, and which regulate many processes including metabolism, proliferation, cell survival, growth and angiogenesis. This is mediated through serine and/or threonine phosphorylation of a range of downstream substrates. Over 100 substrate candidates have been reported so far, but for most of them, no isoform specificity has been reported. AKT is responsible of the regulation of glucose uptake by mediating insulin-induced translocation of the SLC2A4/GLUT4 glucose transporter to the cell surface. Phosphorylation of PTPN1 at 'Ser-50' negatively modulates its phosphatase activity preventing dephosphorylation of the insulin receptor and the attenuation of insulin signaling. Phosphorylation of TBC1D4 triggers the binding of this effector to inhibitory 14-3-3 proteins, which is required for insulin-stimulated glucose transport. AKT regulates also the storage of glucose in the form of glycogen by phosphorylating GSK3A at 'Ser-21' and GSK3B at 'Ser-9', resulting in inhibition of its kinase activity. Phosphorylation of GSK3 isoforms by AKT is also thought to be one mechanism by which cell proliferation is driven.","deregulated nutrient sensing","Mus musculus","Cloning, chromosomal localization and expression analysis of the mouse Akt2 oncogene",10.1126/science.1102592,mmu04211,"Longevity regulating pathway",11652
Akt3,"RAC-Gamma Serine/Threonine-Protein Kinase","thymoma viral proto-oncogene 3","AKT3 is one of 3 closely related serine/threonine-protein kinases (AKT1, AKT2 and AKT3) called the AKT kinase, and which regulate many processes including metabolism, proliferation, cell survival, growth and angiogenesis. This is mediated through serine and/or threonine phosphorylation of a range of downstream substrates. Over 100 substrate candidates have been reported so far, but for most of them, no isoform specificity has been reported. AKT3 is the least studied AKT isoform. It plays an important role in brain development and is crucial for the viability of malignant glioma cells. AKT3 isoform may also be the key molecule in up-regulation and down-regulation of MMP13 via IL13. Required for the coordination of mitochondrial biogenesis with growth factor-induced increases in cellular energy demands. Down-regulation by RNA interference reduces the expression of the phosphorylated form of BAD, resulting in the induction of caspase-dependent apoptosis.","mitochondrial dysfunction","Mus musculus","A novel Akt3 mutation associated with enhanced kinase activity and seizure susceptibility in mice",10.1126/science.1102593,mmu04211,"Longevity regulating pathway",23797
Aldh1b1,2700007F14Rik,"aldehyde dehydrogenase 1 family, member B1","Overexpression of Aldh1b1 is associated with pancreatic cancer development.",others,"Mus musculus","High fat diet significantly changed the global gene expression profile involved in hepatic drug metabolism and pharmacokinetic system in mice",10.1186/s12986-020-00456-w,unknown,Unknown,72535
Aldh2,"AHD-M; ALDH-E2; ALDHI; Ahd","aldehyde dehydrogenase 2, mitochondrial","ALDH2 deficiency upregulated the mitochondrial serine protease Omi/HtrA2, and that ALDH2 deficiency leads to greater mitochondrial ROS production, but homeostasis can be maintained via an appropriate stress response.",others,"Mus musculus","Targeting Aldehyde Dehydrogenase 2: New Therapeutic Opportunities",10.1152/physrev.00017.2013,unknown,Unknown,11669
Apex1,"Ape; Ref1; Hap1","apurinic/apyrimidinic endonuclease 1","APEX1 repairs oxidative DNA damage. Disruption of APEX1 in mice results in embryonic lethality.","genomic instability","Mus musculus","The redox/DNA Repair Protein, Ref-1, Is Essential for Early Embryonic Development in Mice",10.1126/science.1102594,unknown,Unknown,11792
Apoc3,Apo-CIII,"apolipoprotein C-III","Component of triglyceride-rich very low density lipoproteins (VLDL) and high density lipoproteins (HDL) in plasma. Plays a multifaceted role in triglyceride homeostasis. Intracellularly, promotes hepatic very low density lipoprotein 1 (VLDL1) assembly and secretion; extracellularly, attenuates hydrolysis and clearance of triglyceride-rich lipoproteins (TRLs). Impairs the lipolysis of TRLs by inhibiting lipoprotein lipase and the hepatic uptake of TRLs by remnant receptors. Formed of several curved helices connected via semiflexible hinges, so that it can wrap tightly around the curved micelle surface and easily adapt to the different diameters of its natural binding partners.","deregulated nutrient sensing","Mus musculus","A tissue-specific atlas of mouse protein phosphorylation and expression",10.1126/science.1102595,unknown,Unknown,11814
Apoe,Ad2,"apolipoprotein E","APOE is involved in lipid metabolism. Mice without APOE show dysregulations in lipid metabolism, having higher plasma cholesterol levels and developing arterial lesions, displaying DNA oxidative stress at a hepatic level, and presenting severe atherosclerosis and cutaneous xanthomatosis.",others,"Mus musculus","ApoE2, ApoE3, and ApoE4 Differentially Stimulate APP Transcription and Aβ Secretion",10.1126/science.1102596,mmu05010,"Alzheimer disease",11816
App,"Alzheimer Disease Amyloid Protein","amyloid beta (A4) precursor protein","Functions as a cell surface receptor and performs physiological functions on the surface of neurons relevant to neurite growth, neuronal adhesion and axonogenesis. Interaction between APP molecules on neighboring cells promotes synaptogenesis. Involved in cell mobility and transcription regulation through protein-protein interactions. Can promote transcription activation through binding to APBB1-KAT5 and inhibit Notch signaling through interaction with Numb. Couples to apoptosis-inducing pathways such as those mediated by G(O) and JIP.",others,"Mus musculus","The amyloid precursor protein (APP) of Alzheimer disease and its paralog, APLP2, modulate the Cu/Zn-nitric oxide-catalyzed degradation of glypican-1 heparan sulfate in vivo",10.1126/science.1102597,mmu05010,"Alzheimer disease",11820
Appl1,"DCC-Interacting Protein 13-Alpha","adaptor protein, phosphotyrosine interaction, PH domain and leucine zipper containing 1","Multifunctional adapter protein that binds to various membrane receptors, nuclear factors and signaling proteins to regulate many processes, such as cell proliferation, immune response, endosomal trafficking and cell metabolism.","altered intercellular communication","Mus musculus","Appl1 and Appl2 are Expendable for Mouse Development But Are Essential for HGF-Induced Akt Activation and Migration in Mouse Embryonic Fibroblasts",10.1126/science.1102598,mmu04211,"Longevity regulating pathway",72993
Aptx,Axa1,aprataxin,"DNA-binding protein involved in single-strand DNA break repair, double-strand DNA break repair and base excision repair. Resolves abortive DNA ligation intermediates formed either at base excision sites, or when DNA ligases attempt to repair non-ligatable breaks induced by reactive oxygen species. Catalyzes the release of adenylate groups covalently linked to 5'-phosphate termini, resulting in the production of 5'-phosphate termini that can be efficiently rejoined.","genomic instability","Mus musculus","The neurodegenerative disease protein aprataxin resolves abortive DNA ligation intermediates",10.1126/science.1102599,unknown,Unknown,66408
Ar,"Ais; Nr3c4; Smax1","androgen receptor","AR is involved in transcriptional regulation and cellular proliferation and differentiation. Disruption of AR in mice results in insulin (INS) and leptin (LEP) resistance, which suggests that AR may contribute to certain age-related diseases such as type 2 diabetes and cardiovascular disease. Its exact role in human ageing is unknown.","deregulated nutrient sensing","Mus musculus","Insulin and Leptin Resistance With Hyperleptinemia in Mice Lacking Androgen Receptor",10.1126/science.1102600,unknown,Unknown,11835
Areg,"AR; Mcub; Sdg",amphiregulin,"Genetic depletion of Axl triggers asymmetrical cell division, leading to epithelial differentiation and ciliated cell regeneration.","senescence-associated secretory phenotype","Mus musculus","Targeting amphiregulin (AREG) derived from senescent stromal cells diminishes cancer resistance and averts programmed cell death 1 ligand (PD-L1)-mediated immunosuppression",10.1111/acel.13027,mmu04010,"MAPK signaling pathway",11839
Arhgap1,"GTPase-Activating Protein RhoGAP","Rho GTPase activating protein 1","GTPase activator for the Rho, Rac and Cdc42 proteins, converting them to the putatively inactive GDP-bound state. Cdc42 seems to be the preferred substrate.",others,"Mus musculus","Lineage-specific biology revealed by a finished genome assembly of the mouse",10.1126/science.1102601,unknown,Unknown,228359
Arntl,"Brain And Muscle ARNT-Like 1","aryl hydrocarbon receptor nuclear translocator-like","Transcriptional activator which forms a core component of the circadian clock. The circadian clock, an internal time-keeping system, regulates various physiological processes through the generation of approximately 24 hour circadian rhythms in gene expression, which are translated into rhythms in metabolism and behavior. It is derived from the Latin roots 'circa' (about) and 'diem' (day) and acts as an important regulator of a wide array of physiological functions including metabolism, sleep, body temperature, blood pressure, endocrine, immune, cardiovascular, and renal function. Consists of two major components: the central clock, residing in the suprachiasmatic nucleus (SCN) of the brain, and the peripheral clocks that are present in nearly every tissue and organ system. Both the central and peripheral clocks can be reset by environmental cues, also known as Zeitgebers (German for 'timegivers'). The predominant Zeitgeber for the central clock is light, which is sensed by retina and signals directly to the SCN.",others,"Mus musculus","The circadian clock protein BMAL1 is necessary for fertility and proper testosterone production in mice",10.1126/science.1102602,unknown,Unknown,11865
Atf2,"Treb7; Cre-bp1; Hb16","activating transcription factor 2","ATF2 is an important transcription factor involved in a variety of functions that may also be involved in oxidative stress response and cellular growth arrest and senescence.","cellular senescence","Mus musculus","Signal Transduction in H2O2-induced Senescence-Like Phenotype in Human Diploid Fibroblasts",10.1126/science.1102603,mmu04211,"Longevity regulating pathway",11909
Atf4,"Cyclic AMP-Dependent Transcription Factor ATF-4","activating transcription factor 4","Transcription factor that binds the cAMP response element (CRE) (consensus: 5'-GTGACGT[AC][AG]-3') and acts both as a regulator of normal metabolic and redox processes, and as a master transcription factor during the integrated stress response (ISR).",others,"Mus musculus","argeted disruption of the activating transcription factor 4 gene results in severe fetal anemia in mice",10.1126/science.1102604,mmu04211,"Longevity regulating pathway",11911
Atf6b,"Cyclic AMP-Dependent Transcription Factor ATF-6 Beta","activating transcription factor 6 beta","Transcriptional factor that acts in the unfolded protein response (UPR) pathway by activating UPR target genes induced during ER stress. Binds DNA on the 5'-CCAC[GA]-3' half of the ER stress response element (ERSE) (5'-CCAATN9CCAC[GA]-3') when NF-Y is bound to ERSE.","loss of proteostasis","Mus musculus","Analysis of the gene-dense major histocompatibility complex class III region and its comparison to mouse",10.1126/science.1102605,mmu04211,"Longevity regulating pathway",12915
Atg101,C12orf44,"autophagy related 101","Autophagy factor required for autophagosome formation. Stabilizes ATG13, protecting it from proteasomal degradation.",others,"Mus musculus","A tissue-specific atlas of mouse protein phosphorylation and expression",10.1126/science.1102606,mmu04211,"Longevity regulating pathway",68118
Atg13,"Autophagy-Related Protein 13","autophagy related 13","Autophagy factor required for autophagosome formation and mitophagy. Target of the TOR kinase signaling pathway that regulates autophagy through the control of the phosphorylation status of ATG13 and ULK1, and the regulation of the ATG13-ULK1-RB1CC1 complex. Through its regulation of ULK1 activity, plays a role in the regulation of the kinase activity of mTORC1 and cell proliferation.",others,"Mus musculus","ULK1 ATG13 FIP200 complex mediates mTOR signaling and is essential for autophagy",10.1126/science.1102607,mmu04211,"Longevity regulating pathway",51897
Atg5,"Autophagy Protein 5","autophagy related 5","Involved in autophagic vesicle formation. Conjugation with ATG12, through a ubiquitin-like conjugating system involving ATG7 as an E1-like activating enzyme and ATG10 as an E2-like conjugating enzyme, is essential for its function. The ATG12-ATG5 conjugate acts as an E3-like enzyme which is required for lipidation of ATG8 family proteins and their association to the vesicle membranes. Involved in mitochondrial quality control after oxidative damage, and in subsequent cellular longevity. Plays a critical role in multiple aspects of lymphocyte development and is essential for both B and T lymphocyte survival and proliferation. Required for optimal processing and presentation of antigens for MHC II. Involved in the maintenance of axon morphology and membrane structures, as well as in normal adipocyte differentiation. Promotes primary ciliogenesis through removal of OFD1 from centriolar satellites and degradation of IFT20 via the autophagic pathway.",others,"Mus musculus","Dissection of autophagosome formation using Apg5-deficient mouse embryonic stem cells",10.1126/science.1102608,mmu04211,"Longevity regulating pathway",11793
Atm,"Tel1; TelO1; Ata","ataxia telangiectasia mutated","ATM is involved diverse aspects of cellular physiology including DNA repair and cell cycle control. It appears to activate DNA repair pathways in response to DNA damage. Mutations in human ATM cause ataxia telangiectasia, an early-onset disease some argue is characterized by signs of premature ageing.","genomic instability","Mus musculus","Boosting ATM Activity Alleviates Aging and Extends Lifespan in a Mus musculus Model of Progeria",10.1126/science.1102609,mmu04115,"p53 signaling pathway",11920
Atp5o,"Oligomycin Sensitivity Conferring Protein","ATP synthase, H+ transporting, mitochondrial F1 complex","Mitochondrial membrane ATP synthase (F1F0?ATP synthase or Complex V) produces ATP from ADP in the presence of a proton gradient across the membrane which is generated by electron transport complexes of the respiratory chain. F-type ATPases consist of two structural domains, F1?- containing the extramembraneous catalytic core and F0?- containing the membrane proton channel, linked together by a central stalk and a peripheral stalk. During catalysis, ATP synthesis in the catalytic domain of F1?is coupled via a rotary mechanism of the central stalk subunits to proton translocation. Part of the complex F0?domain and the peripheric stalk, which acts as a stator to hold the catalytic alpha3beta3?subcomplex and subunit a/ATP6 static relative to the rotary elements.","mitochondrial dysfunction","Mus musculus","CD38-dependent ADP-ribosyl cyclase activity in developing and adult mouse brain",10.1126/science.1102610,mmu05010,"Alzheimer disease",28080
Atr,"Frp1; Sckl; Sckl1","ataxia telangiectasia and Rad3 related","ATR is involved in DNA repair by activating checkpoint signalling during genotoxic stresses including the phosphorylation of ageing-related proteins such as?BRCA1?and?TP53. TR disruption in mice results in embryonic lethality in homozygous animals while heterozygous mice develop normally but have increased tumour incidence .","stem cell exhaustion","Mus musculus","Deletion of the Developmentally Essential Gene ATR in Adult Mice Leads to Age-Related Phenotypes and Stem Cell Loss",10.1126/science.1102611,mmu04115,"p53 signaling pathway",245000
Axl,"Ark; Tyr; Tyro7","AXL receptor tyrosine kinase","Amphiregulin mediates the hormonal regulation on Rspondin-1 expression in the mammary gland.","senescence-associated secretory phenotype","Mus musculus","Testosterone ameliorates vascular aging via the Gas6/Axl signaling pathway",10.18632/aging.103584,unknown,Unknown,26362
Bak1,"Bcl-2 Homologous Antagonist/Killer","BCL2-antagonist/killer 1","In the presence of an appropriate stimulus, accelerates programmed cell death by binding to, and antagonizing the anti-apoptotic action of BCL2.","mitochondrial dysfunction","Mus musculus","Gene structure, cDNA sequence, and expression of murine Bak, a proapoptotic Bcl-2 family member",10.1126/science.1102612,mmu04210,Apoptosis,12018
Bax,Bcl2l4,"BCL2-associated X protein","An important player in apoptosis, BAX encodes multiple transcripts and has been linked to development, cancer, and age-related changes in apoptosis. Inactivation of BAX in mice extended fertile potential and minimized age-related health problems, including bone and muscle loss, excess fat deposition, alopecia, cataracts, deafness, increased anxiety, and selective attention deficit.",others,"Mus musculus","Absence of the Proapoptotic Bax Protein Extends Fertility and Alleviates Age-Related Health Complications in Female Mice",10.1126/science.1102613,mmu04211,"Longevity regulating pathway",12028
Bcl10,"BCL-1; BCL-10","B cell leukemia/lymphoma 10","CARD11-BCL10-MALT1 (CBM) signaling mediates TCR-induced NF-kappaB activation in Tregs and controls the conversion of resting Tregs to effector Tregs under homeostatic conditions. However, in inflammatory milieus, cytokines can bypass the CBM requirement for this differentiation step.","NF-κB related gene","Mus musculus","Antagonistic crosstalk between NF-κB and SIRT1 in the regulation of inflammation and metabolic disorders",10.1016/j.cellsig.2013.06.007,mmu04064,"NF-kappa B signaling pathway",12042
Bcl2,"Bcl-2; Ppp1r50","B cell leukemia/lymphoma 2","BCL2 is an important suppressor of apoptosis and an oncogene. Apart from cancer, it may be involved in neurodegenerative disorders, and dendritic cell longevity in vivo has been reported to be controlled by BCL2.",others,"Mus musculus","Disruption of the Beclin 1-BCL2 Autophagy Regulatory Complex Promotes Longevity in Mice",10.1126/science.1102614,mmu04115,"p53 signaling pathway",12043
Bcl2l1,"Bcl2l; BclX","BCL2-like 1","Mcl-1 and Bcl-xL are essential for survival of the developing nervous system.","NF-κB related gene","Mus musculus","The Achilles' heel of senescent cells: from transcriptome to senolytic drugs",10.1111/acel.12344,mmu04064,"NF-kappa B signaling pathway",12048
Bdnf,Anon2,"brain derived neurotrophic factor","BDNF is a growth factor that promotes neuronal survival and is involved in numerous neuronal responses. Mice with an accelerated postnatal rise in BDNF showed a precocious development of some CNS features.","cellular senescence","Mus musculus","BDNF Regulates the Maturation of Inhibition and the Critical Period of Plasticity in Mouse Visual Cortex",10.1126/science.1102615,mmu04010,"MAPK signaling pathway",12064
Blm,"Bloom Syndrome RecQ Like Helicase","Bloom syndrome, RecQ like helicase","ATP-dependent DNA helicase that unwinds single- and double-stranded DNA in a 3'-5' direction.","genomic instability","Mus musculus","Point mutations causing Bloom's syndrome abolish ATPase and DNA helicase activities of the BLM protein",10.1126/science.1102616,unknown,Unknown,12144
Bmi1,"Rnf51; Pcgf4","Bmi1 polycomb ring finger oncogene","BMI1 is an oncogene involved in transcriptional regulation by remodelling chromatin. It may also be involved in development. Overexpression of BMI1 in mice results in transformation of axial skeleton. BMI1-null mice show reduced self-renewal of neural stem cells, and thus a role for BMI1 in stem cell senescence has been proposed.","stem cell exhaustion","Mus musculus","Bmi-1 Regulates Self-Renewal, Proliferation and Senescence of Human Fetal Neural Stem Cells in Vitro",10.1126/science.1102617,mmu04550,"Signaling pathways regulating pluripotency of stem cells",12151
Bmp2,"AI467020; Bmpa; Bmp2","bone morphogenetic protein 2","The encoded preproprotein is proteolytically processed to generate each subunit of the disulfide-linked homodimer, which plays a role in bone and cartilage development.","senescence-associated secretory phenotype","Mus musculus","Long noncoding RNA Bmncr regulates mesenchymal stem cell fate during skeletal aging",10.1172/JCI99044,mmu04350,"TGF-beta signaling pathway",12156
Bmp6,"Vg; Vgr1","bone morphogenetic protein 6","This protein regulates a wide range of biological processes including iron homeostasis, fat and bone development, and ovulation. Mice lacking this gene exhibit delayed ossification of the sternum, iron overload, and reduced fertility in females.","senescence-associated secretory phenotype","Mus musculus","Increased BMP6 Levels in the Brains of Alzheimer's Disease Patients and APP Transgenic Mice Are Accompanied by Impaired Neurogenesis",10.1523/JNEUROSCI.1305-10.2010,mmu04350,"TGF-beta signaling pathway",12161
