"","human","mouse"
"1002",9771,217944
"1003",8224,27204
"1004",5813,19290
"1005",56660,210741
"1006",8089,64050
"1007",4193,17246
"1008",23500,76441
"1009",81847,68031
"1010",11172,27356
"1011",9411,214137
"1012",9342,67474
"1013",1964,66235
"1014",4883,18162
"1015",56100,93703
"1016",55620,106766
"1017",8814,71091
"1018",10534,56390
"1019",55802,75901
"1020",79228,386612
"1021",7913,110052
"1022",10736,20472
"1023",9607,27220
"1024",10409,70350
"1025",9562,17330
"1026",9188,56200
"1027",9620,12614
"1028",64174,319446
"1029",8462,194655
"1030",5581,18754
"1031",7122,12741
"1032",2796,14714
"1033",55211,73693
"1034",55205,328977
"1035",6152,68193
"1036",28972,69019
"1037",2018,13797
"1038",51652,66700
"1039",1618,13164
"1040",2492,14309
"1041",11279,245671
"1042",5408,18947
"1043",9210,12155
"1044",1180,12723
"1045",51318,66223
"1047",57215,59016
"1048",3792,23925
"1049",5297,224020
"1050",25945,58998
"1051",55064,381218
"1052",719,12267
"1053",54093,224440
"1054",79072,69577
"1055",2766,66355
"1056",11044,210106
"1057",382,11845
"1058",10938,13660
"1059",51435,219151
"1060",51313,68659
"1061",10576,12461
"1062",5533,19057
"1063",5406,69060
"1064",79923,71950
"1065",54328,70771
"1066",10174,20410
"1067",5771,19255
"1068",10989,76614
"1069",51083,14419
"1070",8971,243529
"1071",1729,13367
"1072",28513,227485
"1073",27035,237038
"1074",7988,232784
"1075",2982,60596
"1076",63894,104799
"1077",3098,15275
"1078",3699,16426
"1079",10495,209224
"1080",55540,50905
"1081",55320,217653
"1082",23768,399558
"1083",1775,66705
"1084",6787,23955
"1086",79924,223780
"1087",7204,223435
"1088",50856,269799
"1089",51663,22763
"1090",7222,22065
"1091",1478,108062
"1092",100131755,100503043
"1093",427,11886
"1096",27333,73124
"1097",5201,67199
"1098",8852,11643
"1099",81849,26938
"1100",55051,217827
"1101",2674,14585
"1102",6305,77980
"1103",10048,56705
"1104",8454,26965
"1105",2891,14800
"1106",5407,18946
"1107",26253,56619
"1109",83696,76510
"1110",80762,65113
"1117",55806,15460
"1118",6879,24074
"1119",1022,12572
"1122",5728,19211
"1123",23250,50770
"1124",129642,67216
"1125",5681,244631
"1126",55246,67179
"1127",50512,319655
"1128",4887,18167
"1129",6564,56643
"1130",55140,74195
"1131",6059,24015
"1132",7097,24088
"1133",25854,212326
"1134",29974,69865
"1135",10089,16530
"1136",10863,13522
"1137",8840,22402
"1138",55212,71492
"1139",10225,84544
"1140",79412,73016
"1141",64641,13592
"1143",6455,20405
"1144",554,12000
"1145",3433,15958
"1146",5799,19276
"1147",23212,59014
"1148",2272,14198
"1149",9071,58187
"1150",9972,218210
"1151",6440,20389
"1152",23303,16554
"1153",9993,13356
"1154",3764,16523
"1155",1184,12728
"1156",9419,56724
"1159",4296,26403
"1160",57152,57277
"1161",50834,57254
"1162",79174,76737
"1163",1010,215654
"1164",9823,67416
"1165",51294,53601
"1166",4247,217664
"1167",27010,29807
"1168",11099,24000
"1169",29102,14000
"1170",25996,104444
"1171",30836,99480
"1172",5507,53412
"1173",7791,22793
"1174",64374,81500
"1175",10921,19826
"1176",10385,238555
"1177",4613,17870
"1178",3108,14998
"1179",51360,270669
"1180",10687,239157
"1181",10735,20843
"1182",9890,229791
"1183",1911,13619
"1184",6656,20664
"1185",3998,70361
"1186",3188,56258
"1187",1120,12651
"1188",2730,14630
"1189",9782,17184
"1190",7755,22654
"1191",4800,18044
"1192",64760,239170
"1193",3054,15161
"1194",4306,110784
"1195",1859,13548
"1196",27107,271377
"1197",91543,58185
"1198",7879,19349
"1199",56123,93887
"1200",30062,19434
"1202",2315,77836
"1203",7555,12785
"1204",63933,76137
"1205",7837,69675
"1206",9812,66839
"1207",108,210044
"1208",57415,218734
"1209",23194,448987
"1210",23516,213053
"1211",3717,16452
"1212",23130,329015
"1213",5911,76108
"1214",64411,106952
"1215",79009,94213
"1216",51315,57896
"1217",23180,76438
"1218",6531,13162
"1219",1808,12934
"1220",1368,70574
"1221",9933,52874
"1222",80152,320394
"1223",59286,100042786
"1224",8394,18720
"1225",23617,22115
"1226",2812,14724
"1227",3363,15566
"1228",1112,71375
"1229",23299,76895
"1230",7086,21881
"1231",6899,21380
"1232",835,12366
"1233",55722,74470
"1234",375346,69179
"1235",23119,58180
"1236",3763,16522
"1237",3024,80838
"1238",649,12153
"1239",4064,17079
"1240",56954,52633
"1241",80763,319552
"1245",25950,66568
"1246",80700,66530
"1247",49,11434
"1248",1007,12565
"1249",81929,72124
"1250",114112,232223
"1255",7078,21859
"1256",56650,224250
"1257",57805,219158
"1258",64924,69048
"1259",1827,54720
"1260",5427,18974
"1261",10426,259279
"1262",56941,232210
"1263",23515,338467
"1264",2266,99571
"1265",57132,67064
"1266",54813,66689
"1267",10598,217737
"1268",23092,71302
"1269",23348,105445
"1270",79884,213582
"1271",8731,67897
"1272",6594,93761
"1273",5281,18701
"1274",55503,64177
"1275",4436,17685
"1277",1501,18163
"1278",393,171207
"1279",23151,223752
"1280",9859,545389
"1281",81792,239337
"1282",90411,193813
"1283",4068,20400
"1301",91782,105513
"1302",3062,387285
"1303",9147,66244
"1304",5520,71978
"1316",5796,19272
"1317",7098,142980
"1318",10343,18766
"1319",9747,77574
"1320",55133,78586
"1321",9074,54419
"1322",4158,17200
"1323",5170,18607
"1324",925,12525
"1326",23588,69554
"1328",10723,20499
"1331",169522,240595
"1332",9156,26909
"1333",4651,17909
"1334",9746,232370
"1335",3772,16516
"1336",9037,20356
"1337",54892,76044
"1338",1839,15200
"1339",414918,69440
"1340",22938,66354
"1341",51634,209003
"1342",64768,75678
"1343",11183,399510
"1344",10486,67252
"1347",3753,16509
"1348",55374,71983
"1349",6241,20135
"1350",9750,193385
"1351",868,208650
"1352",2146,14056
"1353",57498,77480
"1354",961,16423
"1358",9693,76089
"1359",80204,225055
"1360",22989,667772
"1361",9332,93671
"1362",59,11475
"1363",64795,68477
"1364",6303,20229
"1365",7038,21819
"1368",64063,70835
"1369",10325,245670
"1370",51566,71703
"1371",259217,73442
"1372",21,27410
"1373",56143,12941
"1374",23644,234699
"1375",131566,73379
"1376",83700,83964
"1377",51026,66964
"1378",6568,20504
"1379",5700,19179
"1380",66036,210376
"1381",1958,13653
"1382",63877,76539
"1383",3818,16621
"1384",1135,110902
"1385",5868,271457
"1386",64386,240047
"1387",1407,12952
"1388",51375,76561
"1389",8412,29815
"1390",4675,54561
"1391",3141,110948
"1392",54440,74131
"1393",51312,67712
"1394",10135,59027
"1395",6383,15529
"1396",246243,19819
"1397",54442,69259
"1398",9601,12304
"1399",2137,54616
"1400",3508,20589
"1401",51005,245847
"1402",11343,23945
"1403",55821,94041
"1404",25771,223754
"1405",57610,74334
"1406",6235,20090
"1408",55314,70652
"1409",79609,207965
"1410",116,11516
"1411",2843,239530
"1412",53820,170765
"1413",4153,17195
"1414",23032,170822
"1415",55604,68732
"1416",5692,19172
"1417",10148,50498
"1418",2053,13850
"1419",79618,219150
"1420",9781,108089
"1421",6503,20491
"1422",5298,107650
"1423",80346,72549
"1424",9891,77976
"1425",3786,110862
"1426",7984,54324
"1427",131544,224273
"1428",10500,20360
"1429",23379,218333
"1430",6890,21354
"1431",2273,14202
"1432",5825,19299
"1433",51053,57441
"1434",2998,232493
"1435",29978,54609
"1436",8427,101095
"1437",10935,11757
"1438",9363,19337
"1439",80201,216019
"1440",11062,71916
"1442",23542,60597
"1443",6664,20666
"1444",9655,56468
"1445",375449,328329
"1446",124222,76498
"1447",55079,54713
"1448",55015,328110
"1449",55037,69956
"1450",1632,13177
"1451",26289,229949
"1452",54985,353502
"1453",2034,13819
"1454",6489,20449
"1455",2845,73010
"1456",56244,547431
"1457",4204,17257
"1458",10307,225372
"1459",11108,72843
"1460",8277,83553
"1461",6184,103963
"1462",55703,70428
"1463",56145,192163
"1464",7976,14365
"1465",26033,226255
"1466",55188,237422
"1467",26009,108946
"1469",9715,76156
"1470",1806,99586
"1471",55256,104923
"1472",861,12394
"1473",2051,13848
"1474",10650,225655
"1475",2743,14658
"1476",25890,320712
"1477",10556,54364
"1478",1909,13617
"1481",5251,18675
"1482",5993,53970
"1483",2000,56501
"1484",6453,16443
"1485",6545,224022
"1486",54874,214459
"1487",214,11658
"1488",8216,66863
"1489",79187,240121
"1490",2841,110168
"1491",26751,24057
"1492",9023,12642
"1493",3077,15216
"1494",9779,72238
"1495",5368,18155
"1496",3983,226251
"1497",5625,19125
"1498",23030,193796
"1499",79087,223774
"1500",2957,83602
"1501",55125,70799
"1502",9451,13666
"1503",5577,19088
"1504",8260,56292
"1505",58155,56195
"1506",64061,52808
"1508",1438,12982
"1509",22898,105841
"1510",64083,66629
"1511",10466,238123
"1512",6505,20510
"1513",4054,16998
"1514",10939,69597
"1515",80764,69009
"1516",83942,22114
"1517",10160,223254
"1518",2956,17688
"1519",3313,15526
"1520",26953,240614
"1521",55112,217935
"1522",9542,100042150
"1523",9871,69608
"1524",9319,69716
"1525",3112,15002
"1526",9889,223773
"1527",1880,321019
"1529",6493,20465
"1530",5908,215449
"1531",389856,54651
"1532",4726,407785
"1533",51112,217449
"1534",23639,54562
"1535",29926,69080
"1536",2483,14300
"1537",5973,19703
"1538",1734,13371
"1539",874,109857
"1540",10179,67010
"1541",6611,20603
"1542",3053,15160
"1543",10475,214158
"1544",54853,67936
"1545",5294,30955
"1546",148,11549
"1547",7512,170745
"1548",1890,72962
"1549",665,12177
"1550",22820,54161
"1551",1960,13655
"1552",4438,55993
"1553",55818,104263
"1554",8000,72373
"1555",10402,54613
"1556",79810,68927
"1557",25977,67602
"1558",2908,14815
"1559",80380,58205
"1560",8243,24061
"1561",10549,53381
"1562",926,12526
"1563",23562,56173
"1564",57122,103468
"1565",26064,75646
"1566",60485,64010
"1567",10923,20024
"1568",5172,23985
"1569",56130,93884
"1570",11259,78749
"1571",10150,105559
"1572",308,11747
"1573",5871,26412
"1574",23774,223770
"1575",11156,19245
"1576",22943,13380
"1577",85453,239364
"1578",118987,107368
"1579",5600,19094
"1580",4147,17181
"1581",56033,12022
"1582",7105,56496
"1583",55909,57784
"1584",56107,93717
"1585",55687,72026
"1586",929,12475
"1587",23196,218236
"1588",10036,27221
"1589",50855,56513
"1590",51778,59006
"1591",54494,434402
"1592",6576,13358
"1593",4837,18113
"1594",131601,24100
"1595",23240,229473
"1596",23237,11838
"1597",4695,17991
"1598",56132,93874
"1599",2169,14079
"1600",10892,240354
"1601",23167,76740
"1602",51567,56196
"1603",10050,319848
"1604",10786,105355
"1605",8428,223255
"1606",56106,93722
"1607",575,107831
"1608",11052,432508
"1609",23116,328108
"1610",79979,215201
"1611",84617,67951
"1612",24,11304
"1613",23037,68070
"1614",410,11883
"1615",10204,68051
"1616",5698,16912
"1617",80351,74493
"1618",64180,71854
"1619",7253,22095
"1620",23433,104215
"1621",79959,225659
"1622",1191,12759
"1623",51308,225362
"1624",23040,17933
"1625",23107,218506
"1626",56139,192161
"1627",8756,11500
"1628",64087,78038
"1629",6865,21337
"1630",55815,72236
"1631",57380,380836
"1634",22873,66573
"1635",10171,59028
"1636",3700,16427
"1637",4171,17216
"1638",55973,12033
"1639",65055,52250
"1640",221443,106821
"1641",5304,18716
"1642",8492,19142
"1643",2717,11605
"1644",6389,66945
"1645",5098,93706
"1646",10942,57256
"1647",81551,56471
"1648",79873,213484
"1649",3398,15902
"1650",6715,78925
"1651",1821,13497
"1652",3344,14236
"1653",1004,12563
"1655",25793,69754
"1656",64223,56716
"1657",2774,14680
"1658",1295,12837
"1659",661,67065
"1660",56005,28106
"1661",79944,217666
"1662",22866,245684
"1663",1016,320865
"1664",5366,58801
"1665",23283,83410
"1666",22997,235086
"1667",56146,353234
"1668",10590,214189
"1669",23524,75956
"1670",56984,107047
"1671",9604,56736
"1672",8880,51886
"1673",8607,56505
"1674",6999,56720
"1675",56987,70508
"1676",79956,226090
"1677",3359,15561
"1678",55515,241118
"1679",7172,22017
"1680",10086,654498
"1681",51512,29870
"1682",55810,60611
"1683",51439,97863
"1684",63035,320376
"1685",5710,19185
"1686",2731,104174
"1687",3908,16773
"1688",753,52662
"1689",9992,246133
"1690",2168,14080
"1691",8208,110749
"1692",79888,210992
"1693",57337,66315
"1694",26128,72320
"1695",54207,72258
"1696",5580,18753
"1697",2110,66841
"1699",56142,12937
"1700",65980,105246
"1701",1374,12894
"1702",4161,17203
"1703",91289,105847
"1704",11336,211446
"1705",283871,67078
"1706",5526,225849
"1707",2624,14461
"1708",55848,67759
"1710",55172,109065
"1711",539,28080
"1712",8087,14359
"1713",6832,338359
"1714",55812,104871
"1715",3988,16889
"1716",5830,19305
"1717",22841,74998
"1718",5295,18708
"1719",55328,67795
"1720",9856,210108
"1721",55664,67072
"1722",11076,72948
"1723",54165,114893
"1724",56112,93711
"1725",5747,14083
"1726",27299,58860
"1727",51227,56176
"1728",10075,59026
"1729",2107,225363
"1730",2259,14169
"1731",1519,229445
"1732",27328,245578
"1733",4131,17755
"1734",55856,66834
"1735",355,14102
"1736",4017,94352
"1740",59353,67564
"1741",3973,16867
"1742",10299,223455
"1743",2185,19229
"1744",54726,73945
"1745",9701,71474
"1746",2287,30795
"1747",5458,18997
"1748",4069,77397
"1749",51237,69816
"1750",23200,76295
"1751",55081,73916
"1752",55793,75007
"1753",6197,110651
"1754",7267,22129
"1757",1149,12683
"1758",23654,140570
"1759",5097,75599
"1760",23096,245666
"1761",1611,223453
"1762",55702,72886
"1763",2515,11495
"1764",64236,213019
"1765",9127,18440
"1766",9358,223272
"1767",2928,195333
"1768",8513,67717
"1769",55907,12764
"1770",9997,100126824
"1771",55299,67832
"1772",9517,20773
"1773",6781,20855
"1774",9308,12522
"1775",339,11810
"1777",6201,20115
"1778",79882,75553
"1779",7247,22099
"1780",11157,78651
"1781",6856,19027
"1782",92140,67154
"1783",9868,28185
"1784",79567,75687
"1785",57559,76630
"1786",6655,20663
"1787",84864,67014
"1788",81555,67180
"1789",9559,30930
"1790",890,12428
"1791",4160,17202
"1792",10404,54381
"1793",5699,19171
"1794",54882,108857
"1795",56922,72039
"1796",5552,19073
"1797",10656,13992
"1798",78989,71693
"1799",50805,50916
"1800",23438,70791
"1801",4917,18209
"1802",3123,381091
"1803",10393,68999
"1804",9016,20523
"1805",22948,12465
"1806",51105,239510
"1807",373156,76263
"1808",55322,77877
"1809",56882,57912
"1810",11331,12034
"1811",7332,22195
"1812",776,12289
"1813",10930,11811
"1814",54920,66369
"1815",54210,58217
"1816",23327,83814
"1817",10246,218103
"1818",11137,103136
"1819",2581,14420
"1820",4552,210009
"1821",80005,68813
"1822",8850,18519
"1823",6494,20469
"1824",90865,77125
"1825",1495,12385
"1826",80146,67883
"1827",5810,19355
"1828",2822,14756
"1829",79844,71164
"1830",9729,212448
"1831",54491,223433
"1832",51493,28088
"1833",60482,63993
"1836",5361,18844
"1837",8076,50530
"1838",9177,57014
"1839",91775,385658
"1840",9796,105653
"1841",54545,268783
"1842",29930,93872
"1843",55872,52033
"1844",2195,14107
"1845",79658,78514
"1846",23676,66106
"1848",81892,380773
